date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:14:45	343/343	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Apr%202021%2000:14:45%20GMT	https://demo.web3canvas.com/robots.txt		(from )
01:14:45	29513/29513	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Jun%202016%2014:26:30%20GMT	https://demo.web3canvas.com/themeforest/tomato/	C:/My%20Web%20Sites/test3/demo.web3canvas.com/themeforest/tomato/index.html	(from )
01:14:45	7987/7987	---M-Z	200	added ('OK')	application/javascript	etag:%22ddf30241a1b0276dcf8d5a9a8fb64746%22	https://demo.web3canvas.com/cdn-cgi/apps/head/OkbNSnEV_PNHTKP2_EYPrFNyZ8Q.js	C:/My%20Web%20Sites/test3/demo.web3canvas.com/cdn-cgi/apps/head/OkbNSnEV_PNHTKP2_EYPrFNyZ8Q.js	(from https://demo.web3canvas.com/themeforest/tomato/)
01:14:45	15086/15086	---MCZ	200	added ('OK')	image/x-icon	etag:W/%223aee-525644e0d3900%22	https://demo.web3canvas.com/themeforest/tomato/img/favicon.ico	C:/My%20Web%20Sites/test3/demo.web3canvas.com/themeforest/tomato/img/favicon.ico	(from https://demo.web3canvas.com/themeforest/tomato/)
01:14:45	113498/113498	---MCZ	200	added ('OK')	text/css	etag:W/%221bb5a-5256448916a00%22	https://demo.web3canvas.com/themeforest/tomato/css/bootstrap.min.css	C:/My%20Web%20Sites/test3/demo.web3canvas.com/themeforest/tomato/css/bootstrap.min.css	(from https://demo.web3canvas.com/themeforest/tomato/)
01:14:46	26678/26678	---MCZ	200	added ('OK')	text/css	etag:W/%227e3e-5256449c29700%22	https://demo.web3canvas.com/themeforest/tomato/css/font-awesome/css/font-awesome.css	C:/My%20Web%20Sites/test3/demo.web3canvas.com/themeforest/tomato/css/font-awesome/css/font-awesome.css	(from https://demo.web3canvas.com/themeforest/tomato/)
01:14:46	107855/107855	---MCZ	200	added ('OK')	text/css	etag:W/%222225d-5350173d2fd80%22	https://demo.web3canvas.com/themeforest/tomato/css/plugin.css	C:/My%20Web%20Sites/test3/demo.web3canvas.com/themeforest/tomato/css/plugin.css	(from https://demo.web3canvas.com/themeforest/tomato/)
01:14:46	52251/52251	---MCZ	200	added ('OK')	text/css	etag:W/%2212325-52ed13ee83080%22	https://demo.web3canvas.com/themeforest/tomato/css/main.css	C:/My%20Web%20Sites/test3/demo.web3canvas.com/themeforest/tomato/css/main.css	(from https://demo.web3canvas.com/themeforest/tomato/)
01:14:47	93453/93453	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2004%20Apr%202021%2000:14:48%20GMT	http://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/test3/connect.facebook.net/en_US/fbevents.js	(from https://demo.web3canvas.com/themeforest/tomato/)
01:14:48	2274/2274	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%228e2-525644e4a4200%22	https://demo.web3canvas.com/themeforest/tomato/img/preloader.svg	C:/My%20Web%20Sites/test3/demo.web3canvas.com/themeforest/tomato/img/preloader.svg	(from https://demo.web3canvas.com/themeforest/tomato/)
01:14:48	29513/29513	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Jun%202016%2014:26:30%20GMT	https://demo.web3canvas.com/themeforest/tomato/index.html	C:/My%20Web%20Sites/test3/demo.web3canvas.com/themeforest/tomato/index-2.html	(from https://demo.web3canvas.com/themeforest/tomato/)
01:14:48	853/853	---M--	200	added ('OK')	image/png	etag:%22355-525644e4a4200%22	https://demo.web3canvas.com/themeforest/tomato/img/nav-logo.png	C:/My%20Web%20Sites/test3/demo.web3canvas.com/themeforest/tomato/img/nav-logo.png	(from https://demo.web3canvas.com/themeforest/tomato/)
01:14:49	28545/28545	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Jun%202016%2014:26:28%20GMT	https://demo.web3canvas.com/themeforest/tomato/index_slider.html	C:/My%20Web%20Sites/test3/demo.web3canvas.com/themeforest/tomato/index_slider.html	(from https://demo.web3canvas.com/themeforest/tomato/)
01:14:49	28850/28850	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Jun%202016%2014:26:30%20GMT	https://demo.web3canvas.com/themeforest/tomato/index_video.html	C:/My%20Web%20Sites/test3/demo.web3canvas.com/themeforest/tomato/index_video.html	(from https://demo.web3canvas.com/themeforest/tomato/)
01:14:49	28735/28735	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Jun%202016%2014:26:28%20GMT	https://demo.web3canvas.com/themeforest/tomato/index_parallax.html	C:/My%20Web%20Sites/test3/demo.web3canvas.com/themeforest/tomato/index_parallax.html	(from https://demo.web3canvas.com/themeforest/tomato/)
01:14:49	28474/28474	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Jun%202016%2014:26:28%20GMT	https://demo.web3canvas.com/themeforest/tomato/index_animation.html	C:/My%20Web%20Sites/test3/demo.web3canvas.com/themeforest/tomato/index_animation.html	(from https://demo.web3canvas.com/themeforest/tomato/)
01:14:49	25769/25769	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Mar%202017%2011:58:02%20GMT	https://demo.web3canvas.com/themeforest/tomato/menu_all.html	C:/My%20Web%20Sites/test3/demo.web3canvas.com/themeforest/tomato/menu_all.html	(from https://demo.web3canvas.com/themeforest/tomato/)
01:14:50	16680/16680	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Nov%202015%2021:38:22%20GMT	https://demo.web3canvas.com/themeforest/tomato/menu_list.html	C:/My%20Web%20Sites/test3/demo.web3canvas.com/themeforest/tomato/menu_list.html	(from https://demo.web3canvas.com/themeforest/tomato/)
01:14:50	16560/16560	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Nov%202015%2021:38:24%20GMT	https://demo.web3canvas.com/themeforest/tomato/menu_overlay.html	C:/My%20Web%20Sites/test3/demo.web3canvas.com/themeforest/tomato/menu_overlay.html	(from https://demo.web3canvas.com/themeforest/tomato/)
01:14:50	16538/16538	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Nov%202015%2021:38:24%20GMT	https://demo.web3canvas.com/themeforest/tomato/menu_tile.html	C:/My%20Web%20Sites/test3/demo.web3canvas.com/themeforest/tomato/menu_tile.html	(from https://demo.web3canvas.com/themeforest/tomato/)
01:14:50	16263/16263	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Nov%202015%2021:38:22%20GMT	https://demo.web3canvas.com/themeforest/tomato/menu_grid.html	C:/My%20Web%20Sites/test3/demo.web3canvas.com/themeforest/tomato/menu_grid.html	(from https://demo.web3canvas.com/themeforest/tomato/)
01:14:50	16016/16016	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Nov%202015%2021:38:32%20GMT	https://demo.web3canvas.com/themeforest/tomato/reservation.html	C:/My%20Web%20Sites/test3/demo.web3canvas.com/themeforest/tomato/reservation.html	(from https://demo.web3canvas.com/themeforest/tomato/)
01:14:51	18322/18322	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Nov%202015%2021:38:32%20GMT	https://demo.web3canvas.com/themeforest/tomato/reservation-ot.html	C:/My%20Web%20Sites/test3/demo.web3canvas.com/themeforest/tomato/reservation-ot.html	(from https://demo.web3canvas.com/themeforest/tomato/)
01:14:51	22985/22985	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Nov%202015%2021:38:04%20GMT	https://demo.web3canvas.com/themeforest/tomato/about.html	C:/My%20Web%20Sites/test3/demo.web3canvas.com/themeforest/tomato/about.html	(from https://demo.web3canvas.com/themeforest/tomato/)
01:14:51	15540/15540	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Nov%202015%2021:38:14%20GMT	https://demo.web3canvas.com/themeforest/tomato/gallery.html	C:/My%20Web%20Sites/test3/demo.web3canvas.com/themeforest/tomato/gallery.html	(from https://demo.web3canvas.com/themeforest/tomato/)
01:14:51	22876/22876	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Nov%202015%2021:38:14%20GMT	https://demo.web3canvas.com/themeforest/tomato/elements.html	C:/My%20Web%20Sites/test3/demo.web3canvas.com/themeforest/tomato/elements.html	(from https://demo.web3canvas.com/themeforest/tomato/)
